Period,Type_2_AE_ATT
Jan-21,"25,744"
Feb-21,"27,972"
Mar-21,"35,656"
Apr-21,"35,363"
May-21,"38,747"
Jun-21,"39,162"
Jul-21,"39,313"
Aug-21,"39,864"
Sep-21,"40,503"
Oct-21,"39,701"
Nov-21,"39,025"
Dec-21,"34,913"
Jan-22,"36,557"
Feb-22,"37,970"
Mar-22,"41,910"
Apr-22,"37,898"
May-22,"41,874"
Jun-22,"40,910"
Jul-22,"39,632"
Aug-22,"40,802"
Sep-22,"40,188"
Oct-22,"41,440"
Nov-22,"42,644"
Dec-22,"36,592"
Jan-23,"42,076"
Feb-23,"41,717"
Mar-23,"46,803"
Apr-23,"42,632"
May-23,"45,826"
Jun-23,"46,196"
Jul-23,"45,513"
Aug-23,"43,923"
Sep-23,"42,631"
Oct-23,"44,769"
Nov-23,"42,365"
Dec-23,"39,282"
Jan-24,"42,835"
